,Муниципалитет,округ,ФИО,,
,Купчино,217,Устинович Антон Вячеславович,,
,Купчино,218,Швец Павел Евгеньевич,,
,Купчино,218,Павлов Егор Антонович,,
,Купчино,218,Лебедев Владимир Павлович,,
,Купчино,218,Алиферчук Александр Сергеевич,,
,Купчино,219,Веселова Мария Игоревна,,
,Купчино,219,Георгиевский Игорь Владиславович,,
,Купчино,219,Коготков Сергей Сергеевич,,
,Купчино,219,Недбайлов Дмитрий Валерьевич,,
,Лахта Ольгино,641,Румянцев Денис Александрович,,
,Лахта Ольгино,641,Матвеев Сергей Сергеевич,,
,Лахта Ольгино,641,Костылев Сергей Александрович,,
,Лахта Ольгино,641,Жак Игорь Григорьевич,,
,Лахта Ольгино,642,Сауц Артур Валерьевич,,
,Лахта Ольгино,642,Иванов Виктор Павлович,,
,Лахта Ольгино,642,Решетникова Елена Геннадьевна,,
,Лахта Ольгино,642,Козырева Галина Дмитриевна,,
,Лиговка-Ямская,242,Зворыгин Сергей Борисович,,
,Лиговка-Ямская,242,Качабеков Расим Гаджи-Кадирович,,
,Лиговка-Ямская,242,Панкратьев Юрий Викторович,,
,Лиговка-Ямская,242,Тищенко Марина Владимировна,,
,Лиговка-Ямская,243,Никитин Денис Геннадьевич,,
,Лиговка-Ямская,243,Поляков Константин Юрьевич,,
,Лисий нос,3,Джуринский Никита Петрович,,
,Лисий нос,3,Козлов Михаил Михайлович,,
,Малая Охта,1,Белькевич Лидия Юрьевна,,
,Малая Охта,1,Григорьев Валерий Иванович,,
,Малая Охта,1,Шевчук Борис Иванович,,
,Малая Охта,1,Колесников Юлиан Валерьевич,???????,нет в списке
,Малая Охта,2,Муретов Павел Борисович,ГП,
,Малая Охта,2,Петров Антон Владимирович,ГП,
,Малая Охта,2,Дмитриев Александр Александрович,СР,
,Малая Охта,2,Мироненко Татьяна Игоревна,СР,
,Малая Охта,2,Плотников Алексей Иванович,СР,
,Малая Охта,2,Рашитова Анастасия Фанзилевна,СР,
,Малая Охта,3,Тягнеряднев Андрей Михайлович,,
,Малая Охта,3,Мотайло Алексей Сергеевич,,
,Малая Охта,4,Бабенко Виктор Викторович,,
,Малая Охта,4,Мартьянов Александр Михайлович,,
,Малая Охта,4,Полков Константин Александрович,,
,Морские ворота,89,Роскин Михаил Дмитриевич,,
,Морские ворота,89,Замараева Анна Сергеевна,,
,Морские ворота,89,Кен Даниил Олегович,,
,Морские ворота,89,Кузин Сергей Владимирович,,
,Морские ворота,90,Пивоваров Андрей Сергеевич,,
,Морские ворота,90,Грязневич Наталья Владимировна,,
,Морские ворота,90,Давыдов Андрей Владимирович,,
,Морские ворота,90,Анисимов Дмитрий Игоревич,,
,Морские ворота,90,Ермышев Дмитрий Геннадьевич,,
,Морской,19,Васильев Денис Борисович,,
,Морской,19,Шаров Борис Вениаминович,,
,Морской,19,Башков Руслан Владиславович,,
,Морской,19,Коновалов Илья Сергеевич,,
,Морской,20,Стрельцова Елена Алексеевна,,
,Морской,20,Файнштейн Владимир Александрович,,
,Морской,20,Ветохина Мария Геннадьевна,,
,Московская застава,2,Серова Екатерина Андреевна,,
,Московская застава,2,Полевина Светлана Николаевна,,
,Московская застава,4,Корнеева Ольга Николаевна,,
,Нарвский,1,Багнюк Виталий Евгеньевич,,
,Нарвский,1,Данильченков Андрей Евгеньевич,,
,Нарвский,1,Кириллова Людмила Кузьминична,,
,Нарвский,1,Проворов Алексей Евгеньевич,,
,Нарвский,1,Соколова Евгения Леонидовна,,
,Нарвский,2,Климшина Виктория Петровна,,
,Нарвский,2,Парамонова Анна Андреевна,,
,Нарвский,2,Пецикян Самвел Оганесович,,
,Нарвский,2,Самасадкин Сергей Викторович,,
,Народный,158,Трохманенко Дмитрий Сергеевич,,
,Народный,159,Савин Руслан Александрович,,
,Народный,159,Трошин Сергей Александрович,,
,Народный,160,Варивода Иван Петрович,,
,Народный,160,Ефремова Рита Михайловна,,
,Народный,160,Петухов Михаил Иванович,,
,Невская застава,150,Неценко Надежда Александровна,,
,Невская застава,150,Ригин Леонид Александрович,,
,Невская застава,150,Бродовский Владимир Федотович,???,нет в списке
,Невская застава,150,Кудрявцев Николай Львович,???,нет в списке
,Невская застава,151,Дорогавцева Ольга Анатольевна,,
,Невская застава,151,Орлова Алеся Александровна,,
,Невская застава,151,Павлова Инна Владимировна,???,нет в списке
,Невская застава,151,Редькин Сергей Михайлович,???,нет в списке
,Невская застава,151,Султаев Асламбек Ильясович,???,нет в списке
,Невский округ,166,Андриуца Татьяна Геннадьевна,,
,Невский округ,167,Коньков Павел Николаевич,,
,Невский округ,167,Ложечко Андрей Викторович,,
,Невский округ,167,Сорокин Александр Михайлович,,
,Невский округ,168,Кондратьев Михаил Васильевич,,
,Невский округ,169,Каменев Михаил Михайлович,,
,Невский округ,169,Попов Владимир Григорьевич,,
,Новоизмайловское,138,Василенко Геннадий Карпович,,
,Новоизмайловское,138,Кайзер Никита Сергеевич,,
,Новоизмайловское,138,Лось Андрей Павлович,,
,Новоизмайловское,138,Минаев Николай Константинович,,
,Новоизмайловское,138,Пушкарев Алексей Алексеевич,,
,Новоизмайловское,139,Скороходов Иван Валентинович,,
,Новоизмайловское,139,Николаев Юрий Владимирович,,
,Новоизмайловское,139,Богданов Юрий Александрович,,
,Новоизмайловское,139,Ильина Светлана Викторовна,,
,Новоизмайловское,139,Кудряшова Надежда Анатольевна,,
,Новоизмайловское,140,Ярухин Олег Владимирович,,
,Новоизмайловское,140,Дмитриева Жанна Александровна,,
,Новоизмайловское,140,Лавренев Алексей Николаевич,,
,Новоизмайловское,141,Лось Артем Андреевич,,
,Новоизмайловское,141,Орлова Алеся Александровна,,
,Новоизмайловское,141,Соколов Алексей Геннадьевич,,
,Новоизмайловское,141,Зильберман Евгений Самуилович,,
,Новоизмайловское,141,Туманов Вадим Александрович,,
,Обуховский,155,Душкина Жанна Семеновна,,
,Озеро Долгое,202,Рыжова Анна Валерьевна,,
,Озеро Долгое,202,Курганский Анатолий Петрович,,
,Озеро Долгое,202,Стрюков Николай Иванович,,
,Озеро Долгое,202,Адылов Зафар Кадырович,,
,Озеро Долгое,203,Пышкин Валентин Валентинович,,
,Озеро Долгое,204,Хайдар Елена Владимировна,,
,Озеро Долгое,204,Ляхов Павел Николаевич,,
,Озеро Долгое,204,Мазепов Олег Владимирович,,
,Озеро Долгое,205,Пецикян Самвел Оганесович,,
,Озеро Долгое,205,Фролов Юрий Леонидович,,
,Озеро Долгое,205,Гончарова Наталия Александровна,,
,Озеро Долгое,205,Козлов Михаил Михайлович,,
,Оккервиль,170,Ерофеев Анатолий Георгиевич,,
,Оккервиль,171,Ложечко Юрий Петрович,,
,Оккервиль,172,Кулагин Евдоким Александрович,,
,Оккервиль,172,Якимов Владимир Владимирович,,
,Оккервиль,172,Гржеляк Александр Андреевич,,
,Оккервиль,172,Сорокин Александр Михайлович,,
,Остров Декабристов,21,Выдрин Денис Дмитриевич ,,
,Остров Декабристов,21,Назаров Валентин Андреевич ,,
,Остров Декабристов,22,Гущина Ольга Николаевна,,
,Остров Декабристов,22,Мережко Юрий Игоревич,,
,Остров Декабристов,22,Горбацевич Антон Николаевич,,
,Остров Декабристов,22,Воробьев Виктор Викторович,,
,Остров Декабристов,22,Семенченко Алексей Михайлович,,
,Петергоф,1,Валиков Евгений Леонидович,,
,Петергоф,1,Баронов Олег Васильевич ,Я,
,Петергоф,1,Скобелев Евгений Алексеевич,Я,
,Петергоф,2,Андреев Александр Андреевич ,,
,Петергоф,2,Лабутов Владимир Константинович ,,
,Петергоф,3,Кравцов Олег Николаевич ,,
,Петергоф,3,Швед Петр Густавич,,
,Петергоф,4,Литвин Богдан Геннадьевич ,ГП,
,Петергоф,4,Алексеев Борис Иванович  ,Я,
,Петергоф,4,Беляев Александр Юрьевич ,Я,
,Пискаревка,62,Кушнаренко Федор Александрович,,
,Полюстрово,1,Пуйша Александр Эдуардович,,
,Полюстрово,2,Барышников Владимир Ильич,,
,Полюстрово,2,Быкова Наталья Юрьевна,,
,Полюстрово,2,Вялов Андрей Владимирович,,
,Полюстрово,2,Трянова Людмила Николаевна,,
,Полюстрово,3,Тихонова Надежда Геннадьевна,,
,Полюстрово,4,Егорова Виктория Михайловна,,
,Полюстрово,4,Петрецкая Мария Михайловна,,
,Полюстрово,4,Сугак Татьяна Юрьевна,,
,Полюстрово,4,Храмцова Галина Алексеевна,,
,Понтонный,1,Николаев Григорий Анатольевич,,
,Понтонный,1,Русакова Надежда Николаевна,,
,Пороховые,108,Алферова Марианна Владимировна,,
,Пороховые,108,Гринберг Ева Евгеньевна,,
,Пороховые,108,Рогозин Ян Сергеевич,,
,Пороховые,108,Семижанова Елена Игоревна,,
,Пороховые,108,Сиялов Илья Валерьевич,,
,Пороховые,109,Заславский Валерий Николаевич,,
,Пороховые,109,Кирпа Александра Викторовна,,
,Пороховые,109,Савельева Антонина Васильевна,,
,Пороховые,109,Савельева Яна Владимировна,,
,Пороховые,110,Вялов Дмитрий Александрович,,
,Пороховые,110,Гришутин Валерий Александрович,,
,Пороховые,110,Лапицкий Егор Леонович,,
,Пороховые,110,Слесарев Тимур Анисович,,
,Пороховые,110,Цидаева Ольга Сергеевна,,
,Правобережный,174,Буянов Алексей Анатольевич,,
,Правобережный,174,Лосев Андрей Валерьевич,,
,Правобережный,175,Шамиев Кирилл Вячеславович,,
,Правобережный,175,Зорин Антон Михайлович,,
,Правобережный,175,Миронов Антон Валерьевич,,
,Правобережный,175,Плотников Алексей Иванович,,
,Правобережный,176,Елхин Сергей Александрович,,
,Правобережный,176,Мануйло Виталий Владимирович,,
,Правобережный,177,Глазистов Алексей Иванович,,
,Правобережный,177,Елхина Наталья Викторовна,,
,Пушкин,1,Колянов Алексей Юрьевич,,
,Пушкин,1,Федоров Максим Васильевич,,
,Пушкин,1,Задков Виктор Васильевич,,
,Пушкин,2,Шумилина Надежда Владимировна,,
,Пушкин,2,Каясов Анатолий Антонович,,
,Пушкин,3,Беляев Александр Михайлович,,
,Пушкин,3,Савкин Роман Александрович,,
,Пушкин,3,Заморская Елена Эдуардовна,,
,Пушкин,3,Гвоздев Максим Георгиевич,,
,Пушкин,4,Кулаков Сергей Павлович,,
,Пушкин,4,Алимов Рашит Нагимуллаевич,,
,Пушкин,4,Солодов Павел Александрович,,
,Пушкин,4,Коновалова Татьяна Павловна,,
,Ржевка,1,Вялов Дмитрий Александрович,,
,Ржевка,1,Алчинов Евгений Валентинович,,
,Северный,63,Бакан Марианна Игоревна,,
,Северный,63,Чернядьева Наталья Викторовна,,
,Северный,63,Бренчанинова Марина Николаевна,,
,Семеновский,7,Дунюшин Александр Вячеславович,,
,Сенной,3,Бабушкин Сергей Сергеевич,,
,Сенной,4,Ковалев Дмитрий Юрьевич,,
,Сенной,4,Нестеров Евгений Юрьевич,,
,Сестрорецк,1,Литвинов Андрей Андреевич,,
,Смольнинское,239,Смоляк Павел Евгеньевич,,
,Сосновая поляна,1,Петров Антон Викторович,,
,Сосновая поляна,1,Николаев Александр Юрьевич,,
,Сосновая поляна,1,Коршаков Николай Валерьевич,???,Выбывший после регистрации
,Сосновая поляна,1,Грушевская Анастасия Андреевна,,
,Сосновая поляна,2,Давыдов Станислав Вячеславович,,
,Сосновая поляна,2,Ханенко Александр Александрович,,
,Сосновая поляна,2,Гришина Татьяна Михайловна,,
,Стрельна,1,Куличенко Анастасия Владимировна,,
,Стрельна,1,Андреев Дмитрий Андреевич,,
,Стрельна,2,Ворошилова Лидия Ивановна,,
,Стрельна,3,Мансуров Игорь Юрьевич,,
,Стрельна,3,Лупикин Андрей Юрьевич,,
,Стрельна,4,Сметанин Дмитрий Владимирович,,
,Стрельна,5,Львов Илья Александрович,,
,Тярлево,1,Савкин Роман Александрович,,
,Урицк,1,Вялов Андрей Владимирович,,
,Урицк,2,Белинин Андрей Викторович,,
,Усть-Ижора,1,Рютин Сергей Геннадьевич,,
,Финляндский,54,Усманов Георгий Эдуардович,,
,Черная речка,1,Плотников А.И.,,
,Черная речка,2,Красноперов Л.И.,,
,Черная речка,2,Понамарева Н.И.,,
,Черная речка,2,Плотников М.И,,
,Черная речка,3,Орлов А.В.,,
,Черная речка,3,Козлов М.М.,,
,Черная речка,3,Шиманчук М.Г.,,
,Черная речка,3,Горшков Алексей Анатольевич,,
,Черная речка,4,Водолазский К.Г.,,
,Черная речка,4,Сауц А.В.,,
,Черная речка,4,Кузьмина Е.А.,,
,Чкаловское,188,Бахарев Виталий Викторович,,
,Шувалово-Озерки,2,Соколова Алла Константиновна,,
,Шувалово-Озерки,4,Морозова Марина Александровна,,
,Шушары,1,Лепешкина Людмила Жоржевна,,
,Шушары,2,Бондарь Ирина Анатольевна,,
,Шушары,2,Горбач Владимир Данилович,,
,Шушары,2,Холомеева Анна Александровна,,
,Шушары,3,Коновалов Павел Николаевич,,
,Шушары,3,Федорин Алексей Викторович,,
,Шушары,4,Иглин Сергей Викторович,,
,Шушары,4,Ахметзянов Ренат Галимович,,
,Шушары,4,Савкин Александр Викторович,???,нет в списке
,Шушары,5,Мироненко Татьяна Игоревна,,
,Шушары,5,Чабин Сергей Юрьевич,???,нет в списке
,Юго-Запад,1,Барановский Евгений Петрович,,
,Юго-Запад,1,Левашова Ольга Борисовна,,
,Юго-Запад,1,Стафеев Павел Алексеевич,,
,Юго-Запад,1,Кириллов Дмитрий Дмитриевич,,
,Юго-Запад,2,Зрилов Юрий Михайлович,,
,Юго-Запад,2,Мельниченко Сергей Сергеевич,,
,Юго-Запад,2,Машуров Дмитрий Сергеевич,,
,Юго-Запад,3,Чивильгин Виталий Олегович,,
,Юго-Запад,3,Меньших Семен Олегович,,
,Юго-Запад,4,Казарцев Дмитрий Владимирович,,
,Юго-Запад,4,Левашов Александр Юрьевич,,
,Юго-Запад,4,Пахомов Данила Александрович,,
,Южно-Приморский,1,Вигандт Александр Олегович,,
,Южно-Приморский,1,Моисеева Ирена Игоревна,,
,Южно-Приморский,1,Прокофьев Алексей Вячеславович,,
,Южно-Приморский,2,Голоктеев Константин Николаевич,,
,Южно-Приморский,4,Ветюгов Алексей Леонидович,,
,Южно-Приморский,4,Елизаров Александр Олегович,,
,Юнтолово,691,Тарасов Михаил Григорьевич,,
,Юнтолово,692,Третьяков Игорь Юрьевич,,
,Юнтолово,692,Бушкова Татьяна Олеговна ,,
,Юнтолово,693,Кшеменецкий Владимир Григорьевич,,
,Юнтолово,694,Воронин Евгений Александрович,,
,Юнтолово,694,Менделеева Любовь Юрьевна,,
,Юнтолово,694,Иванчиков Егор Сергеевич,,